              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     174.073       4.051      19.154      47.736
     176.076       4.020      19.181      47.736
     178.086       3.979      19.208      47.735
     180.089       3.949      19.235      47.735
     182.092       3.909      19.261      47.735
     184.103       3.870      19.288      47.735
     186.106       3.831      19.315      47.734
     188.109       3.793      19.341      47.734
     190.119       3.756      19.368      47.734
     192.123       3.719      19.395      47.733
     194.126       3.684      19.422      47.733
     196.136       3.649      19.448      47.733
     198.139       3.614      19.475      47.732
     200.143       3.581      19.502      47.732
     202.153       3.548      19.529      47.732
     204.157       3.504      19.555      47.731
     206.160       3.473      19.582      47.731
     208.163       3.431      19.609      47.731
     210.174       3.401      19.636      47.730
     212.177       3.360      19.662      47.730
     214.180       3.320      19.689      47.730
     216.191       3.292      19.716      47.729
     218.195       3.254      19.743      47.729
     220.198       3.216      19.769      47.729
     222.209       3.179      19.796      47.728
     224.213       3.143      19.823      47.728
     226.216       3.107      19.849      47.727
     228.220       3.072      19.876      47.727
     230.231       3.038      19.903      47.727
     232.235       2.994      19.930      47.726
     234.238       2.961      19.956      47.726
     236.242       2.929      19.983      47.725
     238.253       2.886      20.010      47.725
     240.257       2.855      20.037      47.724
     242.261       2.814      20.063      47.724
     244.265       2.774      20.090      47.723
     246.268       2.745      20.117      47.723
     248.280       2.706      20.143      47.722
     250.284       2.668      20.170      47.722
     252.288       2.630      20.197      47.722
     254.292       2.594      20.223      47.721
     256.303       2.557      20.250      47.721
     258.308       2.522      20.277      47.720
     260.312       2.487      20.304      47.720
     262.316       2.453      20.330      47.719
     264.320       2.408      20.357      47.718
     266.324       2.376      20.384      47.718
     268.336       2.344      20.411      47.717
     270.341       2.302      20.437      47.717
     272.345       2.271      20.464      47.716
     274.349       2.230      20.491      47.716
     276.354       2.201      20.517      47.715
     278.358       2.161      20.544      47.715
     280.363       2.123      20.571      47.714
     282.375       2.085      20.598      47.713
     284.380       2.047      20.624      47.713
     286.384       2.010      20.651      47.712
     288.389       1.974      20.678      47.712
     290.394       1.939      20.704      47.711
     292.399       1.904      20.731      47.710
     294.404       1.870      20.758      47.710
     296.409       1.837      20.785      47.709
     298.414       1.793      20.811      47.708
     300.419       1.762      20.838      47.708
     302.431       1.719      20.865      47.707
     304.436       1.689      20.891      47.707
     306.442       1.648      20.918      47.706
     308.447       1.619      20.945      47.705
     310.452       1.580      20.972      47.705
     312.458       1.541      20.998      47.704
     314.463       1.503      21.025      47.703
     316.469       1.466      21.052      47.702
     318.474       1.429      21.078      47.702
     320.480       1.393      21.105      47.701
     322.485       1.358      21.132      47.700
     324.491       1.324      21.158      47.700
     326.497       1.290      21.185      47.699
     328.502       1.257      21.212      47.698
     330.508       1.213      21.239      47.697
     332.514       1.182      21.265      47.697
     334.520       1.140      21.292      47.696
     336.519       1.109      21.319      47.695
     338.525       1.069      21.345      47.694
     340.531       1.029      21.372      47.694
     342.537       1.001      21.399      47.693
     344.543       0.962      21.425      47.692
     346.550       0.924      21.452      47.691
     348.556       0.887      21.479      47.691
     350.563       0.851      21.505      47.690
     352.569       0.815      21.532      47.689
     354.576       0.780      21.559      47.688
     356.575       0.745      21.585      47.687
     358.581       0.712      21.612      47.687
     360.588       0.668      21.639      47.686
     362.595       0.635      21.666      47.685
     364.602       0.604      21.692      47.684
     366.609       0.562      21.719      47.683
     368.608       0.532      21.746      47.682
     370.616       0.491      21.772      47.681
     372.623       0.451      21.799      47.681
     374.630       0.423      21.826      47.680
     376.630       0.385      21.852      47.679
     378.637       0.347      21.879      47.678
     380.645       0.310      21.906      47.677
     382.652       0.274      21.932      47.676
     384.652       0.238      21.959      47.675
     386.660       0.203      21.986      47.674
     388.668       0.169      22.012      47.674
     390.676       0.125      22.039      47.673
     392.676       0.091      22.066      47.672
     394.684       0.059      22.092      47.671
     396.692       0.017      22.119      47.670
     398.692      -0.014      22.146      47.669
     400.701      -0.055      22.172      47.668
     402.708      -0.084      22.199      47.667
     404.709      -0.124      22.226      47.666
     406.718      -0.163      22.252      47.665
     408.719      -0.202      22.279      47.664
     410.727      -0.228      22.306      47.663
     412.736      -0.265      22.332      47.662
     414.737      -0.301      22.359      47.661
     416.746      -0.337      22.386      47.660
     418.747      -0.382      22.412      47.659
     420.756      -0.416      22.439      47.658
     422.758      -0.450      22.465      47.657
     424.767      -0.483      22.492      47.656
      -4.386       9.312      16.774      47.751
      -2.384       9.274      16.801      47.751
      -0.374       9.236      16.828      47.751
       1.628       9.200      16.854      47.752
       3.638       9.163      16.881      47.752
       5.641       9.128      16.908      47.752
       7.650       9.094      16.935      47.753
       9.653       9.059      16.961      47.753
      11.655       9.015      16.988      47.753
      13.665       8.982      17.015      47.753
      15.667       8.951      17.042      47.754
      17.677       8.908      17.068      47.754
      19.679       8.867      17.095      47.754
      21.689       8.837      17.122      47.754
      23.690       8.797      17.149      47.755
      25.700       8.758      17.175      47.755
      27.702       8.730      17.202      47.755
      29.712       8.692      17.229      47.755
      31.714       8.655      17.256      47.756
      33.716       8.618      17.282      47.756
      35.726       8.583      17.309      47.756
      37.728       8.547      17.336      47.756
      39.737       8.502      17.363      47.756
      41.739       8.468      17.389      47.756
      43.749       8.435      17.416      47.757
      45.750       8.391      17.443      47.757
      47.760       8.360      17.470      47.757
      49.762       8.318      17.496      47.757
      51.771       8.287      17.523      47.757
      53.773       8.247      17.550      47.757
      55.782       8.207      17.577      47.757
      57.785       8.179      17.603      47.758
      59.794       8.140      17.630      47.758
      61.796       8.102      17.657      47.758
      63.805       8.065      17.684      47.758
      65.807       8.029      17.710      47.758
      67.816       7.993      17.737      47.758
      69.818       7.958      17.764      47.758
      71.828       7.924      17.791      47.758
      73.829       7.879      17.817      47.758
      75.839       7.846      17.844      47.758
      77.841       7.814      17.871      47.758
      79.850       7.771      17.898      47.758
      81.852       7.740      17.924      47.759
      83.861       7.699      17.951      47.759
      85.863       7.659      17.978      47.759
      87.872       7.630      18.005      47.759
      89.874       7.591      18.031      47.759
      91.883       7.553      18.058      47.759
      93.885       7.515      18.085      47.759
      95.894       7.478      18.112      47.759
      97.896       7.442      18.138      47.759
      99.906       7.406      18.165      47.759
     101.907       7.371      18.192      47.759
     103.917       7.337      18.219      47.759
     105.918       7.292      18.245      47.759
     107.928       7.260      18.272      47.759
     109.930       7.228      18.299      47.759
     111.939       7.185      18.326      47.758
     113.941       7.155      18.352      47.758
     115.950       7.114      18.379      47.758
     117.952       7.074      18.406      47.758
     119.961       7.045      18.433      47.758
     121.963       7.006      18.459      47.758
     123.972       6.968      18.486      47.758
     125.974       6.930      18.513      47.758
     127.984       6.893      18.540      47.758
     129.986       6.858      18.566      47.758
     131.995       6.822      18.593      47.758
     133.997       6.787      18.620      47.758
     136.006       6.742      18.647      47.757
     138.008       6.709      18.673      47.757
     140.018       6.676      18.700      47.757
     142.020       6.633      18.727      47.757
     144.029       6.602      18.754      47.757
     146.031       6.561      18.780      47.757
     148.033       6.531      18.807      47.757
     150.042       6.491      18.834      47.756
     152.044       6.451      18.861      47.756
     154.054       6.424      18.887      47.756
     156.056       6.386      18.914      47.756
     158.065       6.348      18.941      47.756
     160.068       6.312      18.968      47.756
     162.077       6.276      18.994      47.755
     164.079       6.241      19.021      47.755
     166.089       6.195      19.048      47.755
     168.091       6.161      19.074      47.755
     170.100       6.128      19.101      47.754
     172.103       6.085      19.128      47.754
     174.112       6.053      19.155      47.754
     176.114       6.022      19.181      47.754
     178.117       5.980      19.208      47.753
     180.126       5.940      19.235      47.753
     182.129       5.911      19.262      47.753
     184.138       5.872      19.288      47.753
     186.141       5.833      19.315      47.752
     188.151       5.795      19.342      47.752
     190.153       5.758      19.369      47.752
     192.155       5.721      19.395      47.751
     194.165       5.685      19.422      47.751
     196.168       5.651      19.449      47.751
     198.178       5.616      19.476      47.750
     200.180       5.582      19.502      47.750
     202.190       5.539      19.529      47.750
     204.193       5.506      19.556      47.750
     206.195       5.475      19.583      47.749
     208.205       5.433      19.609      47.749
     210.208       5.392      19.636      47.748
     212.218       5.362      19.663      47.748
     214.220       5.322      19.690      47.748
     216.223       5.283      19.716      47.747
     218.233       5.256      19.743      47.747
     220.236       5.218      19.770      47.747
     222.239       5.181      19.796      47.746
     224.249       5.145      19.823      47.746
     226.252       5.109      19.850      47.745
     228.262       5.063      19.877      47.745
     230.265       5.029      19.903      47.744
     232.268       4.995      19.930      47.744
     234.279       4.962      19.957      47.744
     236.282       4.919      19.984      47.743
     238.285       4.888      20.010      47.743
     240.295       4.846      20.037      47.742
     242.298       4.816      20.064      47.742
     244.301       4.776      20.091      47.741
     246.312       4.736      20.117      47.741
     248.315       4.709      20.144      47.741
     250.319       4.670      20.171      47.740
     252.322       4.632      20.198      47.739
     254.333       4.596      20.224      47.739
     256.336       4.559      20.251      47.738
     258.340       4.524      20.278      47.738
     260.351       4.489      20.305      47.737
     262.354       4.455      20.331      47.737
     264.358       4.411      20.358      47.736
     266.361       4.378      20.385      47.736
     268.372       4.346      20.411      47.735
     270.376       4.304      20.438      47.735
     272.380       4.273      20.465      47.734
     274.383       4.232      20.492      47.734
     276.395       4.192      20.518      47.733
     278.398       4.164      20.545      47.733
     280.402       4.125      20.572      47.732
     282.406       4.087      20.598      47.731
     284.418       4.050      20.625      47.731
     286.422       4.013      20.652      47.730
     288.426       3.977      20.679      47.730
     290.430       3.941      20.705      47.729
     292.434       3.907      20.732      47.728
     294.446       3.873      20.759      47.728
