CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 260.070312 1669892518.1512
MEM 260.070312 1669892518.2516
MEM 260.070312 1669892518.3521
MEM 260.070312 1669892518.4526
MEM 260.070312 1669892518.5531
MEM 260.070312 1669892518.6536
MEM 260.070312 1669892518.7540
MEM 260.070312 1669892518.8545
MEM 260.070312 1669892518.9550
MEM 260.070312 1669892519.0555
MEM 260.070312 1669892519.1561
MEM 260.070312 1669892519.2567
MEM 260.070312 1669892519.3572
MEM 260.070312 1669892519.4577
MEM 260.070312 1669892519.5582
MEM 260.070312 1669892519.6586
MEM 260.070312 1669892519.7590
MEM 260.070312 1669892519.8594
MEM 260.070312 1669892519.9599
MEM 260.070312 1669892520.0603
MEM 260.070312 1669892520.1607
MEM 260.070312 1669892520.2611
MEM 260.070312 1669892520.3617
MEM 260.070312 1669892520.4622
MEM 260.070312 1669892520.5628
MEM 260.070312 1669892520.6633
MEM 260.070312 1669892520.7638
MEM 260.070312 1669892520.8643
MEM 260.070312 1669892520.9647
MEM 260.070312 1669892521.0652
MEM 260.070312 1669892521.1656
MEM 260.070312 1669892521.2661
MEM 260.070312 1669892521.3667
MEM 260.070312 1669892521.4672
MEM 260.070312 1669892521.5677
MEM 260.070312 1669892521.6683
MEM 260.070312 1669892521.7687
MEM 260.070312 1669892521.8692
MEM 260.070312 1669892521.9696
MEM 260.070312 1669892522.0701
MEM 260.070312 1669892522.1705
MEM 260.070312 1669892522.2710
MEM 260.070312 1669892522.3714
MEM 260.070312 1669892522.4719
MEM 260.070312 1669892522.5724
MEM 260.070312 1669892522.6729
MEM 260.070312 1669892522.7734
MEM 260.070312 1669892522.8739
MEM 260.070312 1669892522.9744
MEM 260.070312 1669892523.0748
MEM 260.070312 1669892523.1753
MEM 260.070312 1669892523.2757
MEM 260.070312 1669892523.3762
MEM 260.070312 1669892523.4767
MEM 260.070312 1669892523.5772
MEM 260.070312 1669892523.6777
MEM 260.070312 1669892523.7782
MEM 260.070312 1669892523.8787
MEM 260.070312 1669892523.9793
MEM 260.070312 1669892524.0797
MEM 260.070312 1669892524.1802
MEM 260.070312 1669892524.2806
MEM 260.070312 1669892524.3811
MEM 260.070312 1669892524.4816
MEM 260.070312 1669892524.5820
MEM 260.070312 1669892524.6825
MEM 260.070312 1669892524.7831
MEM 260.070312 1669892524.8837
MEM 260.070312 1669892524.9842
MEM 260.070312 1669892525.0847
MEM 260.070312 1669892525.1852
MEM 260.070312 1669892525.2857
MEM 260.070312 1669892525.3861
MEM 260.070312 1669892525.4866
MEM 260.070312 1669892525.5871
MEM 260.070312 1669892525.6876
MEM 260.070312 1669892525.7881
MEM 260.070312 1669892525.8887
MEM 260.070312 1669892525.9892
MEM 260.070312 1669892526.0897
MEM 260.070312 1669892526.1901
MEM 260.070312 1669892526.2906
MEM 260.070312 1669892526.3913
MEM 260.070312 1669892526.4918
MEM 260.070312 1669892526.5922
MEM 260.070312 1669892526.6926
MEM 260.070312 1669892526.7931
MEM 260.070312 1669892526.8936
MEM 260.070312 1669892526.9942
MEM 260.070312 1669892527.0947
MEM 260.070312 1669892527.1952
MEM 260.070312 1669892527.2957
MEM 260.070312 1669892527.3962
MEM 260.070312 1669892527.4966
MEM 260.070312 1669892527.5971
MEM 260.070312 1669892527.6976
MEM 260.070312 1669892527.7981
MEM 260.070312 1669892527.8986
MEM 260.070312 1669892527.9992
MEM 260.070312 1669892528.0997
MEM 260.070312 1669892528.2003
MEM 260.070312 1669892528.3007
MEM 260.070312 1669892528.4012
MEM 260.070312 1669892528.5016
MEM 260.070312 1669892528.6021
MEM 260.070312 1669892528.7026
MEM 260.070312 1669892528.8030
MEM 260.070312 1669892528.9035
MEM 260.070312 1669892529.0040
MEM 260.070312 1669892529.1046
MEM 260.070312 1669892529.2052
MEM 260.070312 1669892529.3057
MEM 260.070312 1669892529.4062
MEM 260.070312 1669892529.5067
MEM 260.070312 1669892529.6072
MEM 260.070312 1669892529.7076
MEM 260.070312 1669892529.8081
MEM 260.070312 1669892529.9085
MEM 260.070312 1669892530.0091
MEM 260.070312 1669892530.1096
MEM 260.070312 1669892530.2101
MEM 260.070312 1669892530.3106
MEM 260.070312 1669892530.4112
MEM 260.070312 1669892530.5116
MEM 260.070312 1669892530.6121
MEM 260.070312 1669892530.7125
MEM 260.070312 1669892530.8130
MEM 260.070312 1669892530.9134
MEM 260.070312 1669892531.0140
MEM 260.070312 1669892531.1145
MEM 260.070312 1669892531.2151
MEM 260.070312 1669892531.3156
